timestamp,disk_used_pct,mem_used_pct,load_1min,proc_count
2026-08-26T10:24:59,85,40.1,0.02,113
2026-08-26T10:38:01,85,37.6,0.24,112
2026-08-26T10:38:21,85,37.5,0.17,112
2026-08-26T10:38:42,85,37.5,0.12,112
2026-08-26T10:39:02,85,37.5,0.09,112
2026-08-26T10:39:22,85,37.6,0.06,111
2026-08-26T10:48:54,97,88,2.10,180
